#chrom	chromStart	chromEnd
chr1	9772	10662
chr1	180652	181258
chr1	181327	181650
chr1	191158	192087
chr1	267570	268453
chr1	585749	586643
chr1	629499	630394
chr1	633578	634475
chr1	778288	779202
chr1	815905	816457
chr1	816876	817776
chr1	822857	823598
chr1	825276	826025
chr1	827070	827952
chr1	832023	832922
chr1	837618	838409
chr1	841083	841923
chr1	844157	845013
chr1	856103	857017
chr1	857959	858647
chr1	860073	860867
chr1	865489	866294
chr1	869471	870374
chr1	874895	875713
chr1	877217	877999
chr1	890379	891187
chr1	896973	897830
chr1	898273	899199
chr1	904344	905207
chr1	920752	921627
chr1	923410	924307
chr1	940030	940891
chr1	942285	942884
chr1	958866	959760
chr1	960347	961115
chr1	966512	967314
chr1	975773	976685
chr1	983864	984769
chr1	993282	994153
chr1	995492	996295
chr1	998642	999444
chr1	999961	1000377
chr1	1000488	1001140
chr1	1001668	1002460
chr1	1008888	1009764
chr1	1013012	1013929
chr1	1019160	1019992
chr1	1032752	1033632
chr1	1038425	1039188
chr1	1040403	1041298
chr1	1059181	1060035
chr1	1063716	1064639
chr1	1068897	1069699
chr1	1074808	1075658
chr1	1079462	1080383
chr1	1098920	1099755
chr1	1106586	1107428
chr1	1115802	1116707
chr1	1121838	1122750
chr1	1136984	1137849
chr1	1143890	1144772
chr1	1149891	1150742
chr1	1157450	1158109
chr1	1171552	1172470
chr1	1173396	1174317
chr1	1182586	1183475
chr1	1185100	1185966
chr1	1188865	1189765
chr1	1201045	1201915
chr1	1206143	1207044
chr1	1207932	1208667
chr1	1208798	1209417
chr1	1212634	1213442
chr1	1213623	1214317
chr1	1216749	1217579
chr1	1219094	1220001
chr1	1221857	1222669
chr1	1231680	1232603
chr1	1246302	1247167
chr1	1247546	1248396
chr1	1250603	1251488
chr1	1260910	1261655
chr1	1264840	1265707
chr1	1273475	1274394
chr1	1280719	1281515
chr1	1291560	1292464
chr1	1305210	1306132
chr1	1307842	1308743
chr1	1324309	1325208
chr1	1349039	1349945
chr1	1355193	1355787
chr1	1358232	1359017
chr1	1359145	1359800
chr1	1371288	1371936
chr1	1372042	1372310
chr1	1374951	1375845
chr1	1380324	1381215
chr1	1381378	1382113
chr1	1399007	1399917
chr1	1406878	1407770
chr1	1419759	1420649
chr1	1425433	1426299
chr1	1427162	1427801
chr1	1435224	1436112
chr1	1440648	1441522
chr1	1462097	1463030
chr1	1471243	1472143
chr1	1479320	1480092
chr1	1495729	1496473
chr1	1504733	1505549
chr1	1511559	1512442
chr1	1517952	1518842
chr1	1540146	1541027
chr1	1574342	1575258
chr1	1578139	1578968
chr1	1594068	1594748
chr1	1597121	1597871
chr1	1599483	1600384
chr1	1606836	1607722
chr1	1615077	1615883
chr1	1629798	1630717
chr1	1636539	1637496
chr1	1639082	1639917
chr1	1658663	1659575
chr1	1660607	1661382
chr1	1665404	1666125
chr1	1666577	1667122
chr1	1677554	1678455
chr1	1678742	1679484
chr1	1686059	1686922
chr1	1692397	1693254
chr1	1694398	1695313
chr1	1696375	1697215
chr1	1697354	1698065
chr1	1723981	1724888
chr1	1726084	1726863
chr1	1728360	1729220
chr1	1740971	1741454
chr1	1742959	1743884
chr1	1746003	1746898
chr1	1748595	1749515
chr1	1749917	1750680
chr1	1752858	1753771
chr1	1754007	1754712
chr1	1763993	1764872
chr1	1775328	1776252
chr1	1778272	1779103
chr1	1780007	1780942
chr1	1782410	1783314
chr1	1787947	1788666
chr1	1788793	1789425
chr1	1796222	1797122
chr1	1797703	1798599
chr1	1814767	1815583
chr1	1815715	1816381
chr1	1840015	1840869
chr1	1841456	1842280
chr1	1849050	1849866
chr1	1856923	1857820
chr1	1858428	1859271
chr1	1869231	1870116
chr1	1889764	1890427
chr1	1890834	1891703
chr1	1899014	1899892
chr1	1901366	1902241
chr1	1905962	1906865
chr1	1908750	1909641
chr1	1919007	1919923
chr1	1929546	1930352
chr1	1942562	1943246
chr1	1943695	1944593
chr1	1959734	1960642
chr1	1995940	1996824
chr1	2003364	2004232
chr1	2019028	2019924
chr1	2025401	2026291
chr1	2043032	2043826
chr1	2044545	2045455
chr1	2046261	2047060
chr1	2049881	2050775
chr1	2091358	2092257
chr1	2103358	2104136
chr1	2112140	2113065
chr1	2114924	2115767
chr1	2121138	2121937
chr1	2126834	2127693
chr1	2132977	2133904
chr1	2139548	2140468
chr1	2142503	2143382
chr1	2146094	2146960
chr1	2148477	2149367
chr1	2150850	2151800
chr1	2152800	2153621
chr1	2174034	2174928
chr1	2189181	2190074
chr1	2194577	2195521
chr1	2198907	2199814
chr1	2204708	2205647
chr1	2212316	2213243
chr1	2224119	2224829
chr1	2227370	2228287
chr1	2230825	2231555
chr1	2231686	2232504
chr1	2234143	2235022
chr1	2236990	2237835
chr1	2240085	2240936
chr1	2246413	2247045
chr1	2255302	2256367
chr1	2258767	2259525
chr1	2275912	2276758
chr1	2277758	2278635
chr1	2278930	2279751
chr1	2290358	2291282
chr1	2298755	2299497
chr1	2300758	2301530
chr1	2304860	2305748
chr1	2311176	2312071
chr1	2314754	2315583
chr1	2373566	2374523
chr1	2381501	2382378
chr1	2391247	2392168
chr1	2412192	2413113
chr1	2414119	2415021
chr1	2415730	2416371
chr1	2443421	2444365
chr1	2467091	2467791
chr1	2467908	2468533
chr1	2493566	2494467
chr1	2495976	2496772
chr1	2499709	2500568
chr1	2523536	2524427
chr1	2525963	2526843
chr1	2529046	2529932
chr1	2540512	2541290
chr1	2545883	2546694
chr1	2546822	2547458
chr1	2548446	2549270
chr1	2555425	2556123
chr1	2556241	2556922
chr1	2561659	2562564
chr1	2575749	2576577
chr1	2578008	2578860
chr1	2583774	2584515
chr1	2585108	2585831
chr1	2586232	2587085
chr1	2592653	2593456
chr1	2598180	2598716
chr1	2610985	2611858
chr1	2623384	2624327
chr1	2628195	2628934
chr1	2642744	2643557
chr1	2655590	2656421
chr1	2683712	2684568
chr1	2686884	2687548
chr1	2687817	2688637
chr1	2786343	2787243
chr1	2801333	2802252
chr1	2821716	2822596
chr1	2839969	2840867
chr1	2894338	2895235
chr1	2912483	2913343
chr1	2926534	2927052
chr1	2927166	2927772
chr1	2953647	2954514
chr1	2973592	2974380
chr1	2978358	2979153
chr1	3012291	3013143
chr1	3032765	3033676
chr1	3170589	3171384
chr1	3222006	3223016
chr1	3312903	3313748
chr1	3316376	3317256
chr1	3319587	3320482
chr1	3372107	3372996
chr1	3384160	3385059
chr1	3424396	3425290
chr1	3452861	3453708
chr1	3454274	3455058
chr1	3483592	3484465
chr1	3490974	3491868
chr1	3531004	3531868
chr1	3564956	3565860
chr1	3584451	3585118
chr1	3597237	3598132
chr1	3611179	3612048
chr1	3618797	3619681
chr1	3620826	3621750
chr1	3624459	3625364
chr1	3649630	3650519
chr1	3652121	3652995
chr1	3655886	3656461
chr1	3663891	3664744
chr1	3666000	3666913
chr1	3668609	3669492
chr1	3677193	3677912
chr1	3678523	3679205
chr1	3695315	3696220
chr1	3717720	3718575
chr1	3719679	3720581
chr1	3724109	3725016
chr1	3746935	3747811
chr1	3772097	3772996
chr1	3775577	3776393
chr1	3787227	3788068
chr1	3793405	3794295
chr1	3796067	3796961
chr1	3801129	3802042
chr1	3809883	3810697
chr1	3810955	3811887
chr1	3842772	3843680
chr1	3856841	3857752
chr1	3872368	3873175
chr1	3880803	3881699
chr1	3883243	3884153
chr1	3889661	3890397
chr1	3890750	3891653
chr1	3900161	3901048
chr1	3903161	3903732
chr1	3907008	3907868
chr1	3910559	3911433
chr1	3921981	3922880
chr1	3927479	3927831
chr1	4007138	4008072
chr1	4027258	4028134
chr1	4044741	4045603
chr1	4638090	4638987
chr1	4652366	4653225
chr1	4796237	4797073
chr1	5328928	5329846
chr1	5348601	5349461
chr1	5370006	5370908
chr1	5388759	5389674
chr1	5422889	5423810
chr1	5481651	5482545
chr1	5509562	5510454
chr1	5514266	5515150
chr1	5666748	5667678
chr1	5667893	5668701
chr1	5745547	5746452
chr1	5936758	5937660
chr1	5966758	5967608
chr1	5975060	5975884
chr1	5980223	5981065
chr1	5982080	5982987
chr1	5992067	5992913
chr1	5994450	5995321
chr1	6006906	6007751
chr1	6012773	6013616
chr1	6014487	6015331
chr1	6025811	6026712
chr1	6027948	6028830
chr1	6034164	6035052
chr1	6041147	6042011
chr1	6056198	6057040
chr1	6058449	6059340
chr1	6108673	6109525
chr1	6122867	6123728
chr1	6127461	6128368
chr1	6148350	6149259
chr1	6171424	6172219
chr1	6179059	6179926
chr1	6199190	6200089
chr1	6205031	6205623
chr1	6205745	6206520
chr1	6208867	6209632
chr1	6235528	6236431
chr1	6241872	6242779
chr1	6244810	6245709
chr1	6246457	6247345
chr1	6259692	6260580
chr1	6260900	6261629
chr1	6293756	6294557
chr1	6294689	6295459
chr1	6338850	6339774
chr1	6343165	6344066
chr1	6348069	6348463
chr1	6348546	6348901
chr1	6358544	6359356
chr1	6359552	6360363
chr1	6364830	6365743
chr1	6368202	6369054
chr1	6373977	6374880
chr1	6393137	6394022
chr1	6401437	6402324
chr1	6404398	6405298
chr1	6414068	6414978
chr1	6418607	6419307
chr1	6420530	6421271
chr1	6423195	6424070
chr1	6424550	6425383
chr1	6437766	6438676
chr1	6440093	6440993
chr1	6444895	6445790
chr1	6447529	6448346
chr1	6449870	6450650
chr1	6454774	6455667
chr1	6460079	6460930
chr1	6465719	6466510
chr1	6471152	6471895
chr1	6475244	6476142
chr1	6484947	6485717
chr1	6486202	6487085
chr1	6489795	6490477
chr1	6497050	6497970
chr1	6545257	6546179
chr1	6554072	6554956
chr1	6579514	6580401
chr1	6581692	6582549
chr1	6591014	6591861
chr1	6599415	6600211
chr1	6600799	6601697
chr1	6602518	6603394
chr1	6613098	6613965
chr1	6614644	6615342
chr1	6624762	6625642
chr1	6634331	6635244
chr1	6646223	6647134
chr1	6701451	6702347
chr1	6719736	6720638
chr1	6727227	6728116
chr1	6734667	6735091
chr1	6735192	6735728
chr1	6741661	6742387
chr1	6743415	6744266
chr1	6745007	6745766
chr1	6751624	6752358
chr1	6753219	6754041
chr1	6770721	6771646
chr1	6776650	6777491
chr1	6784788	6785575
chr1	6797035	6797818
chr1	6800517	6801380
chr1	6889664	6890546
chr1	6962225	6962991
chr1	6963116	6963769
chr1	7070192	7071013
chr1	7646955	7647809
chr1	7667285	7668188
chr1	7669237	7670133
chr1	7680072	7680944
chr1	7704199	7705104
chr1	7728573	7729486
chr1	7747703	7748117
chr1	7752586	7753455
chr1	7753684	7754340
chr1	7770857	7771757
chr1	7783634	7784542
chr1	7786531	7787414
chr1	7807974	7808831
chr1	7810118	7810920
chr1	7826926	7827814
chr1	7831264	7832129
chr1	7856092	7856949
chr1	7898646	7899492
chr1	7899682	7900517
chr1	7902445	7903328
chr1	7912226	7912730
chr1	7912860	7913609
chr1	7915613	7916487
chr1	7926746	7927673
chr1	7929422	7930165
chr1	7930698	7931550
chr1	7942152	7943054
chr1	7948782	7949683
chr1	7953760	7954686
chr1	7961151	7962061
chr1	7974989	7975860
chr1	7982033	7982933
chr1	7993628	7994540
chr1	8004701	8005598
chr1	8014745	8015640
chr1	8025892	8026784
chr1	8030935	8031827
chr1	8047082	8047600
chr1	8047703	8048276
chr1	8083491	8084397
chr1	8085911	8086769
chr1	8096495	8097131
chr1	8097248	8097942
chr1	8104323	8105236
chr1	8106539	8107444
chr1	8113187	8113967
chr1	8120757	8121697
chr1	8126891	8127808
chr1	8141325	8142259
chr1	8142920	8143804
chr1	8145436	8146259
chr1	8149459	8150343
chr1	8152571	8153351
chr1	8167078	8167901
chr1	8169487	8170386
chr1	8182176	8183080
chr1	8194181	8195081
chr1	8204102	8204971
