	V4	V5	V6
36602	chr1	9775	10665
36603	chr1	180675	181178
36604	chr1	181244	181699
36605	chr1	191110	192051
36606	chr1	267575	268460
36607	chr1	270861	271740
36608	chr1	585752	586648
36609	chr1	629395	630394
36610	chr1	633578	634591
36611	chr1	778283	779200
36612	chr1	815884	816429
36613	chr1	816873	817775
36614	chr1	822636	823579
36615	chr1	825309	826034
36616	chr1	827067	827949
36617	chr1	837625	838337
36618	chr1	841231	842039
36619	chr1	844152	845011
36620	chr1	856114	857029
36621	chr1	857940	858608
36622	chr1	860120	860898
36623	chr1	865422	866353
36624	chr1	869477	870378
36625	chr1	876272	877037
36626	chr1	877185	877929
36627	chr1	896976	897832
36628	chr1	898268	899165
36629	chr1	904364	905213
36630	chr1	910075	910856
36631	chr1	920762	921638
36632	chr1	923415	924300
36633	chr1	925283	925859
36634	chr1	939990	940901
36635	chr1	942405	943126
36636	chr1	958865	959762
36637	chr1	960347	961115
36638	chr1	966503	967314
36639	chr1	975772	976683
36640	chr1	983855	984754
36641	chr1	993236	994115
36642	chr1	995475	996287
36643	chr1	998643	999439
36644	chr1	999931	1000377
36645	chr1	1000490	1001141
36646	chr1	1001673	1002459
36647	chr1	1004763	1005686
36648	chr1	1008895	1009807
36649	chr1	1013011	1013929
36650	chr1	1019161	1019994
36651	chr1	1032766	1033639
36652	chr1	1038437	1039222
36653	chr1	1040406	1041304
36654	chr1	1059180	1060031
36655	chr1	1063715	1064651
36656	chr1	1068894	1069693
36657	chr1	1074704	1075529
36658	chr1	1079448	1080358
36659	chr1	1098910	1099873
36660	chr1	1106566	1107381
36661	chr1	1115806	1116708
36662	chr1	1121839	1122749
36663	chr1	1136967	1137836
36664	chr1	1143896	1144778
36665	chr1	1171561	1172475
36666	chr1	1173393	1174313
36667	chr1	1182562	1183467
36668	chr1	1183764	1184566
36669	chr1	1185124	1185926
36670	chr1	1188910	1189781
36671	chr1	1201046	1201913
36672	chr1	1206176	1207043
36673	chr1	1207940	1208666
36674	chr1	1208796	1209391
